Step,Cable_Tip_X,Cable_Tip_Y,Cable_Tip_Z,Obs_Size
0,0.049381253941738604,-0.13105025084538321,0.9540066719055176,49
1,0.045591347945391325,-0.12917548584527544,0.9541877508163452,49
2,0.04558125489566707,-0.1291468888710567,0.9539765119552612,49
3,0.04177800565405439,-0.12913201747616812,0.9538666605949402,49
4,0.043668545197581746,-0.12341110599316579,0.9536818861961365,49
5,0.045574829974623636,-0.12343183118127235,0.953842043876648,49
6,0.043665073575794536,-0.12340129488811499,0.9536060690879822,49
7,0.039851838319009555,-0.12145322154364817,0.9532168507575989,49
8,0.03795414597202002,-0.12145326711046407,0.9532172083854675,49
9,0.03985279273020844,-0.12145613022539714,0.9532396793365479,49
10,0.03795263182469965,-0.12144842183903888,0.9531791806221008,49
11,0.032252501064360777,-0.1195239745326311,0.9529653787612915,49
12,0.03414809223528433,-0.11951832282349516,0.9529203176498413,49
13,0.03794179071974752,-0.1195166407672047,0.9529069066047668,49
14,0.03604505741183662,-0.11951782194451088,0.9529163241386414,49
15,0.03793791042058011,-0.11950441782482736,0.9528094530105591,49
16,0.0398315963290134,-0.11949478898704019,0.9527326822280884,49
17,0.03793155954561253,-0.11758783459139886,0.9526499509811401,49
18,0.034138651360612796,-0.11758868801988852,0.9526568651199341,49
19,0.0360431229581049,-0.11951140770318994,0.9528651833534241,49
20,0.03603878509216105,-0.11949702425295507,0.9527505040168762,49
21,0.03604023931437196,-0.11950184614765438,0.9527889490127563,49
22,0.03414185741330102,-0.11949650094655359,0.9527463316917419,49
23,0.036037049043940284,-0.11949126788253883,0.9527046084403992,49
24,0.0303485341430876,-0.11760056980446444,0.9527531266212463,49
25,0.03413909563706793,-0.1175902183054562,0.9526692628860474,49
26,0.03413777348742501,-0.11758566423446394,0.9526323676109314,49
27,0.037927425306377285,-0.11947138971508846,0.9525461196899414,49
28,0.032242737424743206,-0.11948779163287188,0.9526768922805786,49
29,0.032230282732388066,-0.12133753499251977,0.9523088932037354,49
30,0.03032366415468691,-0.11750419859941177,0.9519723653793335,49
31,0.03600694777147857,-0.11370615085730075,0.9519088268280029,49
32,0.037907855308252233,-0.11372356592475669,0.9520546197891235,49
33,0.041685292847268726,-0.11368716231073289,0.951749861240387,49
34,0.051200278028984005,-0.09481532968330371,0.9525136351585388,49
35,0.05309907988047553,-0.09292338979083217,0.9525583982467651,49
36,0.053104013912260876,-0.08913888049558076,0.9526469111442566,49
37,0.05311114084706194,-0.08535719064706383,0.9527747631072998,49
38,0.05500758876905549,-0.08345978985649798,0.9527682065963745,49
39,0.0588083667228865,-0.08346993986474213,0.9528840780258179,49
40,0.056895691081249526,-0.08155049054979098,0.9526223540306091,49
41,0.05880102061644745,-0.079665898899703,0.9527650475502014,49
42,0.058813965508064385,-0.0796834371399582,0.952974796295166,49
43,0.06259633043370558,-0.08156491541361635,0.9527908563613892,49
44,0.06068010983618703,-0.08153889759237633,0.9524869322776794,49
45,0.060685562665157705,-0.08154622483130566,0.9525725245475769,49
46,0.060686037319490106,-0.08154686264806484,0.9525799751281738,49
47,0.06448102069323113,-0.08344602677947557,0.9526110887527466,49
48,0.06257869322802208,-0.08343825763736276,0.9525223970413208,49
49,0.06446320406820996,-0.08531894656086614,0.9523478746414185,49
50,0.058867554931501566,-0.07595813539548589,0.9538431167602539,49
51,0.058853855932814024,-0.07594045926814713,0.9536211490631104,49
52,0.0626304222438034,-0.07781355490896785,0.9533097743988037,49
53,0.0645117196741609,-0.079690947832787,0.9530646204948425,49
54,0.06826934419203416,-0.08344030956804174,0.9525458216667175,49
55,0.07014154926266371,-0.08720300719141974,0.9522177577018738,49
56,0.07012054485914612,-0.09096719333078417,0.9519326090812683,49
57,0.0738946007233714,-0.09663140094594722,0.9517233967781067,49
58,0.07576669781014032,-0.10228504204368945,0.9514391422271729,49
59,0.07573005449567867,-0.1079153276563421,0.9509789943695068,49
60,0.07571266316093934,-0.11356899474140902,0.9507606029510498,49
61,0.07569473072026109,-0.11921920088441121,0.9505354166030884,49
62,0.07943595308302376,-0.1267192584895855,0.9500150084495544,49
63,0.08131954475509695,-0.1323806542524834,0.9499245882034302,49
64,0.0812879957869214,-0.13800055098709912,0.9495560526847839,49
65,0.07939675494161792,-0.14177991953860342,0.949546217918396,49
66,0.08126615183855337,-0.1474130196141201,0.9493008852005005,49
67,0.08314532756404504,-0.15306298937926474,0.9491783380508423,49
68,0.08124415481416315,-0.15682011278082655,0.9490439295768738,49
69,0.08310333869249184,-0.16242925289896132,0.9486989974975586,49
70,0.0812113251099352,-0.16619992115521623,0.9486604332923889,49
71,0.08496612056932373,-0.1718203771512991,0.9484095573425293,49
72,0.08306527616157629,-0.1755697882506044,0.948264479637146,49
73,0.08306446165474188,-0.1793437240272836,0.948255181312561,49
74,0.08682408731528055,-0.18497305558472812,0.9480801224708557,49
75,0.08682041918659972,-0.1887400417099994,0.9480400681495667,49
76,0.08489422467759435,-0.19242690926921385,0.9476070404052734,49
77,0.08679666914509634,-0.19623594763239172,0.9477807283401489,49
78,0.08677809924364965,-0.19996692434406227,0.947577953338623,49
79,0.0867583775934654,-0.20369358217596226,0.9473626017570496,49
80,0.0867397531067705,-0.2074211487335816,0.9471592307090759,49
81,0.08671832293831674,-0.21114026454546686,0.9469252228736877,49
82,0.081072189210823,-0.21305017164704648,0.9470351338386536,49
83,0.08670078469806154,-0.21675196174515388,0.9467337131500244,49
84,0.0866773075827993,-0.22046184754755474,0.9464773535728455,49
85,0.08481131799198902,-0.22239412273454895,0.9466816186904907,49
86,0.08666253135610437,-0.22607616875505487,0.9463160037994385,49
87,0.0847871124009901,-0.2279831244559956,0.9464114308357239,49
88,0.08853836788836757,-0.23170679255891938,0.946229100227356,49
89,0.08664392324498393,-0.2335618800516958,0.9461128115653992,49
90,0.08850774912401994,-0.2372760933963088,0.9459018707275391,49
91,0.08850618751126633,-0.23915501731767713,0.945885181427002,49
92,0.08850660580039676,-0.24103926686065502,0.9458896517753601,49
93,0.08865285641196097,-0.241437566398532,0.9474526643753052,49
94,0.08676605773789088,-0.24143598674891376,0.9474464654922485,49
95,0.08488639110115592,-0.24145462357662129,0.9475196003913879,49
96,0.08863723470723643,-0.24328092079220215,0.9472857117652893,49
97,0.08864499815349726,-0.24330222897449247,0.9473686814308167,49
98,0.08675348129669948,-0.2432869366798746,0.947309136390686,49
99,0.08676207301477033,-0.243311030845769,0.9474029541015625,49
